Implementing agency,Sourcing Agency,Local partner agency,Agency / Local contact name,Agency / Local contact email,Agency / Local contact phone #,District,VDC / Municipalities,Municipal Ward,Action type,Action description,Targeting,# Items / # Man-hours / NPR,Total Number Households,Average cost per households (NPR),Female headed households,Vulnerable Caste / Ethnicity households ,Activity Status,Start date,Completion Date,Additional Comments,Last Update,Priority,Hard to Reach Access Methods,Shelter Cluster Hub,District HLCIT Code,VDC / Municipality HLCIT Code,UID,UNOCHA Activity Categories
AAR Japan,,,,,,Dhading,Tasarpu,Unknown,Shelter,Tarpaulin,All / Blanket,1299,1299,2103,,,Completed,16/05/2015,22/05/2015,,25/05/2015,TRUE,Truck access,West,524 2 05 30,524 2 05 30 5 046,AAR JapanDhadingTasarpuUnknownShelterTarpaulin12991299,Distribution of Shelter Material
AAR Japan,,,,,,Dhading,Tasarpu,Unknown,NFI,Blankets,All / Blanket,2598,1299,920,,,Completed,16/05/2015,22/05/2015,,25/05/2015,TRUE,Truck access,West,524 2 05 30,524 2 05 30 5 046,AAR JapanDhadingTasarpuUnknownNFIBlankets25981299,Distribution of Shelter Material
ACF,,,,,,Nuwakot,Chaughoda,Unknown,NFI,Household kits (excluding tarpaulins),All / Blanket,600,600,,,,Ongoing / In Country Stock,01/06/2015,,Number of distributed kits can vary according to real population data,25/05/2015,TRUE,,Central,524 2 05 28,524 2 05 28 5 028,ACFNuwakotChaughodaUnknownNFIHousehold kits (excluding tarpaulins)600600,Distribution of NFI
ACF,,,,,,Nuwakot,Chaughoda,Unknown,Shelter,Tarpaulin,All / Blanket,600,600,,,,Ongoing / In Country Stock,01/06/2015,,Number of distributed kits can vary according to real population data,03/08/2015,TRUE,,Central,524 2 05 28,524 2 05 28 5 028,ACFNuwakotChaughodaUnknownShelterTarpaulin600600,Distribution of Shelter Material
ACF,,,,,,Rasuwa,Dhunche,Unknown,NFI,Household kits (excluding tarpaulins),All / Blanket,600,600,,,,Ongoing / In Country Stock,29/05/2015,,Number of distributed kits can vary according to real population data,03/08/2015,TRUE,Truck access,Central,524 2 05 29,524 2 05 29 5 002,ACFRasuwaDhuncheUnknownNFIHousehold kits (excluding tarpaulins)600600,Distribution of NFI
ACF,,,,,,Rasuwa,Dhunche,Unknown,Shelter,Tarpaulin,All / Blanket,600,600,,,,Ongoing / In Country Stock,29/05/2015,,Number of distributed kits can vary according to real population data,03/08/2015,TRUE,Truck access,Central,524 2 05 29,524 2 05 29 5 002,ACFRasuwaDhuncheUnknownShelterTarpaulin600600,Distribution of Shelter Material
ACF,,,,,,Rasuwa,Ramche,Unknown,NFI,Household kits (excluding tarpaulins),All / Blanket,600,600,,,,Ongoing / In Country Stock,27/05/2015,,Number of distributed kits can vary according to real population data,03/08/2015,TRUE,Truck access,Central,524 2 05 29,524 2 05 29 5 008,ACFRasuwaRamcheUnknownNFIHousehold kits (excluding tarpaulins)600600,Distribution of NFI
ACF,,,,,,Rasuwa,Ramche,Unknown,Shelter,Tarpaulin,All / Blanket,600,600,,,,Ongoing / In Country Stock,27/05/2015,,Number of distributed kits can vary according to real population data,03/08/2015,TRUE,Truck access,Central,524 2 05 29,524 2 05 29 5 008,ACFRasuwaRamcheUnknownShelterTarpaulin600600,Distribution of Shelter Material
ACF,,,,,,Nuwakot,Suryamati,Unknown,Shelter,Tarpaulin,All / Blanket,600,600,,,,Ongoing / In Country Stock,03/06/2015,,Number of distributed kits can vary according to real population data,03/08/2015,TRUE,4x4/Pickup access,Central,524 2 05 28,524 2 05 28 5 013,ACFNuwakotSuryamatiUnknownShelterTarpaulin600600,Distribution of Shelter Material
ACF,,,,,,Nuwakot,Suryamati,Unknown,Shelter,Tool Kits,All / Blanket,600,600,,,,Ongoing / In Country Stock,03/06/2015,,Number of distributed kits can vary according to real population data,03/08/2015,TRUE,4x4/Pickup access,Central,524 2 05 28,524 2 05 28 5 013,ACFNuwakotSuryamatiUnknownShelterTool Kits600600,
ActionAid Nepal,DEC,,,,,Dolakha,Hawa,,Shelter,CGI Bundle (72ft/bundle),Targeted group,750,500,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,Tractor access,East,524 2 04 22,524 2 04 22 5 015,ActionAid NepalDolakhaHawaShelterCGI Bundle (72ft/bundle)750500,Distribution of Shelter Material
ActionAid Nepal,DEC,,,,,Dolakha,Hawa,,Shelter,Tool Kits,Targeted group,500,500,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,Tractor access,East,524 2 04 22,524 2 04 22 5 015,ActionAid NepalDolakhaHawaShelterTool Kits500500,
ActionAid Nepal,DEC,,,,,Dolakha,Hawa,,Shelter,Fixings,Targeted group,500,500,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,Tractor access,East,524 2 04 22,524 2 04 22 5 015,ActionAid NepalDolakhaHawaShelterFixings500500,
ActionAid Nepal,DEC,,,,,Dolakha,Hawa,,Cash,Other Cash,Targeted group,,500,,500,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,Tractor access,East,524 2 04 22,524 2 04 22 5 015,ActionAid NepalDolakhaHawaCashOther Cash500,
ActionAid Nepal,RRF,,,,,Sindhupalchok,Mahangkal,,Cash,Other Cash,All / Blanket,,702,,702,,Completed,06/01/2015,30/07/2015,,16/08/2015,TRUE,,East,524 2 05 23,524 2 05 23 5 059,ActionAid NepalSindhupalchokMahangkalCashOther Cash702,
ActionAid Nepal,,,,,,Rasuwa,Laharepauwa,,Shelter,CGI Bundle (72ft/bundle),All / Blanket,1000,500,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,Central,524 2 05 29,524 2 05 29 5 007,ActionAid NepalRasuwaLaharepauwaShelterCGI Bundle (72ft/bundle)1000500,Distribution of Shelter Material
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Jyamdi Mandan,,Shelter,CGI Bundle (72ft/bundle),Targeted group,128,85,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 071,ActionAid NepalKabhrepalanchokJyamdi MandanShelterCGI Bundle (72ft/bundle)12885,Distribution of Shelter Material
