District Code,HLCIT Code,District,VDC,Priority,Above 1500M,# of Damaged HH,Total Damage %,Target HH
524 2 04 22,524 2 04 22 5 005,Dolakha,Namdu,True,True,1565.0,1.63258785942492,2555.0
524 2 05 24,524 2 05 24 5 017,Kavrepalanchok,Pokhari Narayansthan,True,True,607.0,0.209225700164745,127.0
524 2 05 30,524 2 05 30 5 013,Dhading,Phulkharka,True,True,1132.0,1.0,1132.0
524 2 05 24,524 2 05 24 5 018,Kavrepalanchok,Sankhupati Chour,True,True,855.0,1.08304093567251,926.0
524 2 05 23,524 2 05 23 5 065,Sindhupalchok,Helambu,True,True,1610.0,0.540372670807453,870.0
524 2 05 30,524 2 05 30 5 019,Dhading,Semjong,True,True,1163.0,1.00515907136715,1169.0
524 2 05 28,524 2 05 28 5 058,Nuwakot,Kaule,True,True,739.0,1.22598105548038,906.0
524 2 05 23,524 2 05 23 5 005,Sindhupalchok,Fulpingkatti,True,True,767.0,2.71577574967405,2083.0
524 2 06 31,524 2 06 31 5 033,Makwanpur,Tistung Deurali,True,True,,1.0,2105.0
524 2 04 22,524 2 04 22 5 011,Dolakha,Kabhre,True,True,,1.0,340.0
524 2 05 30,524 2 05 30 5 033,Dhading,Kumpur,True,False,,1.0,1389.0
524 3 07 36,524 3 07 36 5 047,Gorkha,Laprak,True,True,589.0,1.05942275042445,624.0
524 2 05 23,524 2 05 23 5 034,Sindhupalchok,Syaule Bazar,True,True,1980.0,0.436868686868687,865.0
524 2 05 23,524 2 05 23 5 067,Sindhupalchok,Gunsakot,True,True,1082.0,0.11090573012939,120.0
524 2 05 23,524 2 05 23 5 003,Sindhupalchok,Gati,True,True,2069.0,0.628322861285645,1300.0
524 2 05 30,524 2 05 30 5 015,Dhading,Tripureswor,True,False,950.0,1.02631578947368,975.0
524 2 05 23,524 2 05 23 5 016,Sindhupalchok,Chokati,True,True,1429.0,0.419874037788663,600.0
524 1 03 13,524 1 03 13 5 025,Okhaldhunga,Khiji Chandeshwori,True,True,340.0,0.432352941176471,147.0
524 1 03 13,524 1 03 13 5 023,Okhaldhunga,Bhussinga,True,True,347.0,0.714697406340058,248.0
524 2 05 24,524 2 05 24 5 064,Kavrepalanchok,Ryale,True,True,1037.0,2.28351012536162,2368.0
524 2 06 31,524 2 06 31 5 030,Makwanpur,Daman,True,True,2256.0,0.166223404255319,375.0
524 2 05 23,524 2 05 23 5 048,Sindhupalchok,Nawalpur,True,False,1721.0,0.533410807669959,918.0
524 2 05 27,524 2 05 27 5 054,Kathmandu,Daxinkali,True,False,253.0,0.142292490118577,36.0
524 2 05 24,524 2 05 24 5 016,Kavrepalanchok,Methinkot,True,False,0.0,1.0,1124.0
524 2 05 25,524 2 05 25 2 001,Lalitpur,Lalitpur Sub-metropolitan City,True,False,14106.0,0.0709627109031618,1001.0
524 2 05 30,524 2 05 30 5 010,Dhading,Budhathum,True,False,1102.0,0.936479128856624,1032.0
524 2 05 24,524 2 05 24 5 078,Kavrepalanchok,Dolalghat,True,False,372.0,2.24193548387097,834.0
524 2 05 26,524 2 05 26 3 002,Bhaktapur,Madhyapur Thimi Municipality,True,False,8872.0,0.00383228133453562,34.0
524 2 05 27,524 2 05 27 1 001,Kathmandu,Kathmandu Metropolitan City,True,False,66932.0,0.00397418275264448,266.0
524 2 05 28,524 2 05 28 5 020,Nuwakot,Ratmate,True,False,822.0,1.26277372262774,1038.0
524 2 05 28,524 2 05 28 5 028,Nuwakot,Chaughada,True,False,1164.0,0.429553264604811,500.0
524 2 05 24,524 2 05 24 5 060,Kavrepalanchok,Gairi Bisouna Deupur,True,False,1285.0,0.0459143968871595,59.0
524 2 05 24,524 2 05 24 5 080,Kavrepalanchok,Koshidekha,True,False,325.0,1.88307692307692,612.0
524 2 05 25,524 2 05 25 5 038,Lalitpur,Bungamati,True,False,323.0,3.94117647058824,1273.0
524 2 05 30,524 2 05 30 5 012,Dhading,Mulpani,True,False,0.0,1.0,811.0
524 2 05 30,524 2 05 30 5 048,Dhading,Jeewanpur,True,False,2005.0,1.34663341645885,2700.0
524 2 05 30,524 2 05 30 5 006,Dhading,Aginchok,True,False,1094.0,1.91316270566728,2093.0
524 2 05 30,524 2 05 30 5 021,Dhading,Dhola,True,False,1248.0,0.927884615384615,1158.0
524 2 04 21,524 2 04 21 5 020,Ramechhap,Gumdel,True,True,453.0,1.17880794701987,534.0
524 2 05 28,524 2 05 28 5 055,Nuwakot,Samari,True,True,1207.0,0.668599834299917,807.0
524 2 04 22,524 2 04 22 5 039,Dolakha,Bigu,True,True,560.0,2.36071428571429,1322.0
524 2 04 22,524 2 04 22 5 042,Dolakha,Khopachagu,True,True,789.0,0.773130544993663,610.0
524 3 07 36,524 3 07 36 5 045,Gorkha,Kashigaun,True,True,384.0,1.27083333333333,488.0
524 1 03 13,524 1 03 13 5 026,Okhaldhunga,Ragani,True,True,918.0,0.991285403050109,910.0
524 2 05 23,524 2 05 23 5 023,Sindhupalchok,Sunkhani,True,True,1562.0,0.103072983354673,161.0
524 2 05 24,524 2 05 24 5 081,Kavrepalanchok,Kharelthok,True,False,622.0,1.32475884244373,824.0
524 2 05 28,524 2 05 28 5 025,Nuwakot,Rautbesi,True,True,654.0,0.458715596330275,300.0
524 2 05 30,524 2 05 30 5 001,Dhading,Darkha,True,True,1436.0,1.0,1436.0
524 2 05 29,524 2 05 29 5 012,Rasuwa,Chilime,True,True,453.0,0.699779249448124,317.0
524 2 04 22,524 2 04 22 5 050,Dolakha,Sailungeswor,True,True,1372.0,0.364431486880466,500.0
524 2 05 29,524 2 05 29 5 018,Rasuwa,Goljung,True,True,317.0,0.996845425867508,316.0
524 2 05 28,524 2 05 28 5 030,Nuwakot,Ghyangphedi,True,True,604.0,1.25993377483444,761.0
524 3 07 36,524 3 07 36 5 037,Gorkha,Bihi,True,True,223.0,1.05381165919283,235.0
524 2 04 22,524 2 04 22 5 028,Dolakha,Bocha,True,True,927.0,1.17259978425027,1087.0
524 2 04 22,524 2 04 22 5 047,Dolakha,Bhusafeda,True,True,728.0,0.953296703296703,694.0
524 2 05 23,524 2 05 23 5 068,Sindhupalchok,Thangpalkot,True,True,640.0,1.134375,726.0
524 2 05 23,524 2 05 23 5 058,Sindhupalchok,Ichok,True,True,2866.0,0.53768318213538,1541.0
524 2 04 22,524 2 04 22 5 010,Dolakha,Jungu,True,True,1172.0,0.4419795221843,518.0
524 2 05 23,524 2 05 23 5 057,Sindhupalchok,Gumba,True,True,1503.0,0.916167664670659,1377.0
524 2 05 29,524 2 05 29 5 016,Rasuwa,Bridhim,True,True,164.0,1.21951219512195,200.0
524 2 06 31,524 2 06 31 5 029,Makwanpur,Palung,True,True,1689.0,0.22202486678508,375.0
524 3 07 36,524 3 07 36 5 043,Gorkha,Sirdibas,True,True,341.0,2.03519061583578,694.0
524 2 05 23,524 2 05 23 5 069,Sindhupalchok,Bhotang,True,True,825.0,1.00484848484848,829.0
524 1 03 13,524 1 03 13 5 027,Okhaldhunga,Rawadolu,True,True,409.0,0.334963325183374,137.0
524 2 04 21,524 2 04 21 5 015,Ramechhap,Gupteshwor,True,True,422.0,0.97867298578199,413.0
524 2 05 29,524 2 05 29 5 003,Rasuwa,Yarsa,True,True,911.0,2.00658616904501,1828.0
524 2 05 23,524 2 05 23 5 032,Sindhupalchok,Selang,True,True,1182.0,0.562605752961083,665.0
524 2 05 24,524 2 05 24 5 062,Kavrepalanchok,Kushadevi,True,True,1948.0,1.14476386036961,2230.0
524 2 06 31,524 2 06 31 5 034,Makwanpur,Markhu,True,True,794.0,0.953400503778338,757.0
524 2 05 23,524 2 05 23 5 017,Sindhupalchok,Ghorthali,True,True,1077.0,0.395543175487465,426.0
524 2 04 21,524 2 04 21 5 013,Ramechhap,Duragaun,True,True,771.0,1.06355382619974,820.0
524 2 05 29,524 2 05 29 5 011,Rasuwa,Gatlang,True,True,531.0,2.5743879472693,1367.0
524 2 04 22,524 2 04 22 5 022,Dolakha,Khare,True,True,583.0,1.34648370497427,785.0
524 3 07 36,524 3 07 36 5 041,Gorkha,Prok,True,True,227.0,0.973568281938326,221.0
524 2 05 29,524 2 05 29 5 002,Rasuwa,Dhunche,True,True,704.0,0.568181818181818,400.0
524 2 04 22,524 2 04 22 5 041,Dolakha,Kalinchowk,True,True,639.0,1.96244131455399,1254.0
524 2 05 28,524 2 05 28 5 035,Nuwakot,Urleni,True,True,768.0,1.20052083333333,922.0
